ID,Decision,Build_Selfcon,Tier,Accommodation_Class,Loan_Type,Gender,Employment_Type,Doc_Proof_Inc,Marital_Status,Employer_Type,Education_Class,Mode_of_origin_class,eom_25,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,Expen,TotInc,DispInc,MarVal,OldEmi,LoanReq,Term,Dwnpay,BankSave,CalcEmi,IIR,IAR,FOIR,LTV,LVR
SRT-O41B-703723,1,Self Contruction,2,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,30,1,6,11000,16879,5879,739130,0,340000,180,115000,0,5232.609863000001,31.00071013,89.00510058,31.00071013,46.00002706,75.0
DEL-9G0K-550508,1,Self Contruction,1,Non_Rented,Home_Loan,Male,Salaried,N,Married,Govt,GRADUATE+,Others,0,0,0,47,20,15,11115,38475,27360,1290323,0,800000,180,500000,0,12312.030270000001,32.00007868,45.00011065,32.00007868,61.99997985,0.0
MDG-G1V2-910903,0,Self Contruction,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,UNDERGRADUATE,Reference,0,0,0,40,14,20,7950,21000,13050,387500,0,500000,180,120000,0,7695.02002,36.64295247,58.96567065,36.64295247,129.0322581,129.0322571
DEL-6701-609439,0,Self Contruction,1,Rented,Home_Loan,Female,Salaried,N,Married,Corporate,GRADUATE+,Reference,0,0,0,43,8,9,8750,26240,17490,2300000,0,800000,180,1500000,0,12312.030270000001,46.92084708,70.39468424,46.92084708,34.782608700000004,34.78260803
SHB-G369-906714,0,Self Contruction,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,GRADUATE+,Reference,0,0,0,25,10,7,5354,30177,24823,1492537,0,1000000,180,500000,0,15390.04004,50.99923796,61.99911388,50.99923796,67.00001407,67.0
GUJ-A00E-803813,1,Self Contruction,1,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,0,0,42,6,18,13977,27360,13383,1194030,0,800000,180,400000,0,12312.030270000001,45.00011065,91.99753623,45.00011065,66.99999163,67.0
MDG-40ZB-639560,1,Self Contruction,3,Rented,Home_Loan,Female,Salaried,Y,Married,Corporate,GRADUATE+,Own database field visit,1,0,0,38,1,4,18529,34834,16305,2205882,0,750000,84,350000,0,15326.84961,43.9996831,94.00091757,43.9996831,34.00000544,68.0
SHB-J29M-867890,1,Builder,3,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Others,0,0,1,30,14,14,7638,18141,10503,595625,0,476500,120,119208,40000,7982.0,43.999779499999995,75.99733409999999,43.999779499999995,80.0,80.0
SRT-X24M-712241,0,Self Contruction,2,Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,1,0,30,3,10,71820,92340,20520,800000,40000,600000,180,200000,0,9234.030273,10.00003278,45.00014753,53.31820476,75.0,75.0
NAG-SI3D-962842,1,Self Contruction,2,Non_Rented,Home_Loan,Female,Self_Employed,N,Married,Business,U10,Reference,0,1,1,44,2,20,10523,34200,23677,1818182,2975,600000,180,852000,24300,9234.030273,27.00008852,39.00000115,35.69891893,32.9999967,41.0
